Temp,Densidad,Calor Esp,Cond. Ter.,Dif. Ter.,Visc. Din.,Visc. Cin,Numero de Prandtl
1608,0.1896,1240,0.09926,4.2873E-04,0.00005993,0.0003213168,0.7491
1609,0.1895,1241,0.09929,4.2908E-04,0.00005994,0.0003215864,0.7491
1610,0.1894,1241,0.09932,4.2943E-04,0.00005996,0.000321856,0.7491
1611,0.1893,1241,0.09935,4.2978E-04,0.00005997,0.0003221256,0.7492
1612,0.1892,1241,0.09938,4.3013E-04,0.00005999,0.0003223952,0.7492
1613,0.1891,1241,0.09941,4.3049E-04,0.00006001,0.0003226648,0.7492
1614,0.1890,1241,0.09944,4.3084E-04,0.00006002,0.0003229344,0.7492
1615,0.1889,1241,0.09947,4.3119E-04,0.00006004,0.000323204,0.7492
1616,0.1889,1241,0.09950,4.3154E-04,0.00006006,0.0003234736,0.7492
1617,0.1888,1241,0.09953,4.3189E-04,0.00006007,0.0003237432,0.7492
1618,0.1887,1241,0.09956,4.3224E-04,0.00006009,0.0003240128,0.7492
1619,0.1886,1241,0.09959,4.3259E-04,0.00006010,0.0003242824,0.7493
1620,0.1885,1241,0.09962,4.3294E-04,0.00006012,0.000324552,0.7493
1621,0.1884,1241,0.09965,4.3330E-04,0.00006014,0.0003248216,0.7493
1622,0.1883,1241,0.09968,4.3365E-04,0.00006015,0.0003250912,0.7493
1623,0.1882,1241,0.09971,4.3400E-04,0.00006017,0.0003253608,0.7493
1624,0.1882,1241,0.09974,4.3435E-04,0.00006019,0.0003256304,0.7493
1625,0.1881,1242,0.09978,4.3470E-04,0.00006020,0.0003259,0.7493
1626,0.1880,1242,0.09981,4.3505E-04,0.00006022,0.0003261696,0.7493
1627,0.1879,1242,0.09984,4.3540E-04,0.00006024,0.0003264392,0.7493
1628,0.1878,1242,0.09987,4.3575E-04,0.00006025,0.0003267088,0.7494
1629,0.1877,1242,0.09990,4.3610E-04,0.00006027,0.0003269784,0.7494
1630,0.1876,1242,0.09993,4.3646E-04,0.00006028,0.000327248,0.7494
1631,0.1876,1242,0.09996,4.3681E-04,0.00006030,0.0003275176,0.7494
1632,0.1875,1242,0.09999,4.3716E-04,0.00006032,0.0003277872,0.7494
1633,0.1874,1242,0.10002,4.3751E-04,0.00006033,0.0003280568,0.7494
1634,0.1873,1242,0.10005,4.3786E-04,0.00006035,0.0003283264,0.7494
1635,0.1872,1242,0.10008,4.3821E-04,0.00006037,0.000328596,0.7494
1636,0.1871,1242,0.10011,4.3856E-04,0.00006038,0.0003288656,0.7495
1637,0.1870,1242,0.10014,4.3891E-04,0.00006040,0.0003291352,0.7495
1638,0.1869,1242,0.10017,4.3927E-04,0.00006041,0.0003294048,0.7495
1639,0.1869,1242,0.10020,4.3962E-04,0.00006043,0.0003296744,0.7495
1640,0.1868,1242,0.10023,4.3997E-04,0.00006045,0.000329944,0.7495
1641,0.1867,1242,0.10026,4.4032E-04,0.00006046,0.0003302136,0.7495
1642,0.1866,1243,0.10029,4.4067E-04,0.00006048,0.0003304832,0.7495
1643,0.1865,1243,0.10032,4.4102E-04,0.00006050,0.0003307528,0.7495
1644,0.1864,1243,0.10035,4.4137E-04,0.00006051,0.0003310224,0.7496
1645,0.1863,1243,0.10038,4.4172E-04,0.00006053,0.000331292,0.7496
1646,0.1862,1243,0.10041,4.4208E-04,0.00006054,0.0003315616,0.7496
1647,0.1862,1243,0.10044,4.4243E-04,0.00006056,0.0003318312,0.7496
1648,0.1861,1243,0.10047,4.4278E-04,0.00006058,0.0003321008,0.7496
1649,0.1860,1243,0.10050,4.4313E-04,0.00006059,0.0003323704,0.7496
1650,0.1859,1243,0.10053,4.4348E-04,0.00006061,0.00033264,0.7496
1651,0.1858,1243,0.10056,4.4383E-04,0.00006063,0.0003329096,0.7496
1652,0.1857,1243,0.10059,4.4418E-04,0.00006064,0.0003331792,0.7497
1653,0.1856,1243,0.10062,4.4453E-04,0.00006066,0.0003334488,0.7497
1654,0.1855,1243,0.10065,4.4488E-04,0.00006067,0.0003337184,0.7497
1655,0.1855,1243,0.10068,4.4524E-04,0.00006069,0.000333988,0.7497
1656,0.1854,1243,0.10071,4.4559E-04,0.00006071,0.0003342576,0.7497
1657,0.1853,1243,0.10074,4.4594E-04,0.00006072,0.0003345272,0.7497
1658,0.1852,1243,0.10077,4.4629E-04,0.00006074,0.0003347968,0.7497
1659,0.1851,1244,0.10080,4.4664E-04,0.00006076,0.0003350664,0.7497
1660,0.1850,1244,0.10083,4.4699E-04,0.00006077,0.000335336,0.7498
1661,0.1849,1244,0.10087,4.4734E-04,0.00006079,0.0003356056,0.7498
1662,0.1848,1244,0.10090,4.4769E-04,0.00006080,0.0003358752,0.7498
1663,0.1848,1244,0.10093,4.4805E-04,0.00006082,0.0003361448,0.7498
1664,0.1847,1244,0.10096,4.4840E-04,0.00006084,0.0003364144,0.7498
1665,0.1846,1244,0.10099,4.4875E-04,0.00006085,0.000336684,0.7498
1666,0.1845,1244,0.10102,4.4910E-04,0.00006087,0.0003369536,0.7498
1667,0.1844,1244,0.10105,4.4945E-04,0.00006089,0.0003372232,0.7498
1668,0.1843,1244,0.10108,4.4980E-04,0.00006090,0.0003374928,0.7498
1669,0.1842,1244,0.10111,4.5015E-04,0.00006092,0.0003377624,0.7499
1670,0.1841,1244,0.10114,4.5050E-04,0.00006093,0.000338032,0.7499
1671,0.1841,1244,0.10117,4.5086E-04,0.00006095,0.0003383016,0.7499
1672,0.1840,1244,0.10120,4.5121E-04,0.00006097,0.0003385712,0.7499
1673,0.1839,1244,0.10123,4.5156E-04,0.00006098,0.0003388408,0.7499
1674,0.1838,1244,0.10126,4.5191E-04,0.00006100,0.0003391104,0.7499
1675,0.1837,1245,0.10129,4.5226E-04,0.00006102,0.00033938,0.7499
1676,0.1836,1245,0.10132,4.5261E-04,0.00006103,0.0003396496,0.7499
1677,0.1835,1245,0.10135,4.5296E-04,0.00006105,0.0003399192,0.7500
1678,0.1834,1245,0.10138,4.5331E-04,0.00006106,0.0003401888,0.7500
1679,0.1834,1245,0.10141,4.5366E-04,0.00006108,0.0003404584,0.7500
1680,0.1833,1245,0.10144,4.5402E-04,0.00006110,0.000340728,0.7500
1681,0.1832,1245,0.10147,4.5437E-04,0.00006111,0.0003409976,0.7500
1682,0.1831,1245,0.10150,4.5472E-04,0.00006113,0.0003412672,0.7500
1683,0.1830,1245,0.10153,4.5507E-04,0.00006115,0.0003415368,0.7500
1684,0.1829,1245,0.10156,4.5542E-04,0.00006116,0.0003418064,0.7500
1685,0.1828,1245,0.10159,4.5577E-04,0.00006118,0.000342076,0.7501
1686,0.1827,1245,0.10162,4.5612E-04,0.00006119,0.0003423456,0.7501
1687,0.1827,1245,0.10165,4.5647E-04,0.00006121,0.0003426152,0.7501
1688,0.1826,1245,0.10168,4.5683E-04,0.00006123,0.0003428848,0.7501
1689,0.1825,1245,0.10171,4.5718E-04,0.00006124,0.0003431544,0.7501
1690,0.1824,1245,0.10174,4.5753E-04,0.00006126,0.000343424,0.7501
1691,0.1823,1245,0.10177,4.5788E-04,0.00006128,0.0003436936,0.7501
1692,0.1822,1246,0.10180,4.5823E-04,0.00006129,0.0003439632,0.7501
1693,0.1821,1246,0.10183,4.5858E-04,0.00006131,0.0003442328,0.7502
1694,0.1820,1246,0.10186,4.5893E-04,0.00006132,0.0003445024,0.7502
1695,0.1820,1246,0.10189,4.5928E-04,0.00006134,0.000344772,0.7502
1696,0.1819,1246,0.10192,4.5964E-04,0.00006136,0.0003450416,0.7502
1697,0.1818,1246,0.10196,4.5999E-04,0.00006137,0.0003453112,0.7502
1698,0.1817,1246,0.10199,4.6034E-04,0.00006139,0.0003455808,0.7502
1699,0.1816,1246,0.10202,4.6069E-04,0.00006141,0.0003458504,0.7502
1700,0.1815,1246,0.10205,4.6104E-04,0.00006142,0.00034612,0.7502
1701,0.1814,1246,0.10208,4.6139E-04,0.00006144,0.0003463896,0.7503
1702,0.1813,1246,0.10211,4.6174E-04,0.00006145,0.0003466592,0.7503
1703,0.1813,1246,0.10214,4.6209E-04,0.00006147,0.0003469288,0.7503
1704,0.1812,1246,0.10217,4.6244E-04,0.00006149,0.0003471984,0.7503
1705,0.1811,1246,0.10220,4.6280E-04,0.00006150,0.000347468,0.7503
1706,0.1810,1246,0.10223,4.6315E-04,0.00006152,0.0003477376,0.7503
1707,0.1809,1246,0.10226,4.6350E-04,0.00006154,0.0003480072,0.7503
1708,0.1808,1246,0.10229,4.6385E-04,0.00006155,0.0003482768,0.7503
1709,0.1807,1247,0.10232,4.6420E-04,0.00006157,0.0003485464,0.7503
1710,0.1806,1247,0.10235,4.6455E-04,0.00006158,0.000348816,0.7504
1711,0.1806,1247,0.10238,4.6490E-04,0.00006160,0.0003490856,0.7504
1712,0.1805,1247,0.10241,4.6525E-04,0.00006162,0.0003493552,0.7504
1713,0.1804,1247,0.10244,4.6561E-04,0.00006163,0.0003496248,0.7504
1714,0.1803,1247,0.10247,4.6596E-04,0.00006165,0.0003498944,0.7504
1715,0.1802,1247,0.10250,4.6631E-04,0.00006167,0.000350164,0.7504
1716,0.1801,1247,0.10253,4.6666E-04,0.00006168,0.0003504336,0.7504
1717,0.1800,1247,0.10256,4.6701E-04,0.00006170,0.0003507032,0.7504
1718,0.1799,1247,0.10259,4.6736E-04,0.00006171,0.0003509728,0.7505
